iR,R,x,eta,F,G,H,B,meanH,minF,maxF,residual
1,5.0000000000000003e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,-6.7255335197231466e-24,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,6.0227189741379750e-04,1.3390925893337083e-02,9.8349850948627604e-01,-3.6387997018845443e-04,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,2.4076366639015911e-03,4.9419548847118848e-02,9.3421901062354828e-01,-5.5157427526773047e-03,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,5.4117450176094928e-03,9.7043840639627579e-02,8.5376433858644130e-01,-2.5515423230627277e-02,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,9.6073597983847847e-03,1.4207644492737562e-01,7.4702108448855420e-01,-7.1082546377914460e-02,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,1.4984373402728013e-02,1.7203248759794593e-01,6.2316081664362999e-01,-1.4767077763326023e-01,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,2.1529832133895588e-02,1.8017803726656764e-01,4.9444391692579054e-01,-2.5195535784084694e-01,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,2.9227967408489652e-02,1.6704249389561066e-01,3.7319316568849648e-01,-3.7246623868997336e-01,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,3.8060233744356631e-02,1.3887638630965446e-01,2.6863225563964521e-01,-4.9377785740139341e-01,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,4.8005353438278331e-02,1.0418757544390746e-01,1.8523708355853674e-01,-6.0177366538048438e-01,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
